artist_name,track_name,release_date,genre,lyrics
phish,crowd control,2004,blues,listen talk weeks wait grow crowd star feet world turn stand time come change feather raindrop lighter shade sisters brothers devil crowd meet time pray loud crowd lowland fool stay control rein come grind loud clear devil turn
stephen stills,flaming heart,1984,blues,face risk take time kiss take love start lose control flame heart cold apart babe behold flame heart years searchin key flame heart emergin love start feel flame heart apart steal flame heart talk listen baby talkin bout burnin desire endless yearnin love start heat flamin heart apart need flamin heart guarantee
cage the elephant,tiny little robots,2009,blues,gonna gonna move city think look pretty pistol tuck beneath shoe sensation world annihilation move music patiently wait city scream hear breathe cry wisdom hungry mind feed know tire cause robot design life true souls say know right join scar scar scar march drumbeat nosebleed amuse taste truth creation total domination chain shoulder social captivation kill leaders persecute teachers criticize culture crucify free thinkers know tire cause robot design life true souls say know right join scar scar scar eye money vanity cunning surface diamonds look stun mass deception alter perception sell children connection know tire cause robot design life true souls say know right join sidewalks break mind twist billboards lie lie streets pave zombies lose generation generically amidst madness dream creep keep sight turn take explosion shake beauty scream alive
lonnie mack,memphis,1999,blues,yeah krokus ball cokus ring shine bring beat dirty mind mind lonely leave hill hungry mind mind mind kick chumps dumpsters pull pervis kind hold nutsack steady mind mind talk talk lurk walk walk line flat break land plenty mind mind mind mind mind mind mind yeah krokus ball cokus ring shine bring beat dirty mind mind lonely leave hill hungry mind mind mind
johnny winter,jumpin' jack flash,1971,blues,bear crossfire hurricane house mama fallin rain right fact right jumpin flash raise toothless beard haag school strap right right fact right jumpin drown wash leave dead look feet bleed look cross crown right head right fact right jumpin flash
lavern baker,everybody's somebody's fool,1956,blues,somebody mind like sweet song last time somebody mind walk cloud silver line dream dream mistake wrong sleep right blind chance care affair real romance somebody mind
jj grey & mofro,higher you climb,2009,blues,sook operator bear flash little money sell higher climb fall leave young spend grocery money try kid read write guess go change pimp roll boys cause get pay higher climb fall
kenny wayne shepherd,"prison blues (with cootie stark & neal ""big daddy"" pattman)",2006,blues,wide awake goodness sake go great stand grab chair go great long long long long long long long yeah go great long long long long long long long wide awake goodness sake go great stand grab chair go great
phish,grind,2004,blues,bend sixtyeight ways live thousand days twentyeight teeth inside head grind type things dead
the black crowes,wyoming and me,2017,blues,turn ugly try hide heart away future beautiful flaw desperate strong lonely like wyoming nature things try leave little bring join hand form ring cross finger sing beautiful flaw desperate strong lonely like wyoming beautiful flaw desperate strong lonely like wyoming wyoming wyoming wyoming wyoming
klass band brotherhood,sugaa shack,2011,blues,imagination coast stand water get closer pure intoxication solid gold cause felt thing feel right look sign promise try worlds away worlds away woah woah worlds away woah woah worlds away worlds away worlds away woah woah worlds away worlds away
ella fitzgerald,alexander's ragtime band,1958,blues,come hear ragtime band come hear best band land play bugle like hear natural want bestest band come hand leader band want hear swanee river play ragtime come hear ragtime band
rory gallagher,loose talk,1982,blues,loose talk uptight people look blood draw cool phase stuff straw tight talk stayput people aim hurt aim wind step toe step finger fool know go play game snow derail cause lock yeah know go play game cause snow derail stay cause lock yeah doubletalking doublemeaning tightrope tactics play game heart say push yeah yeah yeah
kenny wayne shepherd,born with a broken heart,1995,blues,ash flame keep gettin stronger like slow train watch good young burnin like shootin bear break heart distance callin take ride slow train run good young playin guitar bear break heart burnin like shootin bear break heart begin kill bullet sixstring bang drum good young ridin long black bear break heart playin guitar bear break heart burnin like shootin bear break heart
black joe lewis & the honeybears,face in the scene,2018,blues,see face see need remember face scene years sober fashionably late know easy replace look good night lock bathroom floor party spend time forget need scene scene see face see need remember scene years sober fashionably late know easy replace mirror look like everybody turn light eye hand face cause spend time forget need scene scene lose head good ideas cause spend time forget need scene scene
louis prima,"yes, we have no bananas",1999,blues,fruit store street greek keep good things hear speak answer death take dough tell bananas havea bananas today string bean onions cabbage scallions sort fruit fashion tomahto long island potahto bananas bananas today business good write home today send need help right away store ask sparrow grass quartet answer bananas havea bananas today coconuts walnuts doughnuts nut like sell kinds herring dark ballbearing bananas bananas today sorry inform entirely fruit question aforementioned vegetable bear cognomen banana induce accept substitute desirable policy internationally famous green grocery suggest sample clock feel certain tempt pallet regret diligent search premise entire staff positively affirm fear contradiction raspberries delicious delicious delicious bananas today gotta banana banana gotta banana today banana gotta banana believea whatta want mister wanna quarter oneofadozen gonna daughter gotta piana banana bananas today gotta bananas gotta bananas today
eric clapton,third degree,1994,blues,accuse peep thing accuse pet raise hand luck luck kill stand degree accuse murder harm accuse forgery write accuse tax dime accuse children
steely dan,your gold teeth ii,1975,blues,children scheme wild speak wing smile secrets tremble time ride throw gold teeth roll answer reveal life unreal strangers pass door cover action feel best refuse game rule lose throw gold teeth roll answer reveal life unreal throw gold teeth roll answer reveal life unreal
keb' mo',crapped out again,1994,blues,flat break bust fair heaven hear prayer dice load flat break bust crap maybe tomorrow light know difference tween wrong right ship come flat break bust crap hang tight rope somebody preacher yeah pope flip coin turn card goddamn gonna live large ship lord come flat break bust crap flat break bust crap crap
morphine,my brain,2000,blues,brain tune brain tune know tune brain go brain shop say rebuild head say gotta brain work right good ideas good idea fix
peter and gordon,five hundred miles,2001,blues,miss train know go hear whistle blow hear whistle blow home lord home shirt lord ahome away away away away away lord ahome away miss train know go hear whistle blow hear whistle blow hear whistle blow hear whistle blow
peter frampton,going to l.a.,1981,blues,tell fine come surprise awake count endless hours tear drop eye message yesterday call go insane mistake true livin razor edge leavin know sleep alright go yesterday call go insane mistake alive alive alive alive tell fine come surprise awake count endless hours tear drop eye message cause yesterday call go insane think mistake alive alive alive alive alive alive gotta alive yeah alive alive alive alive alive
them crooked vultures,dead end friends,2009,blues,drive night drive know head follow road blind road dead night vein call race arteries myth herd follow road night hop puzzle piece fell know open door climb hold real close ache touch dead friends gotta know dead road tell look eye dead friends drive night end begin sweet curse reach awaken dead wander dead friends dead friends dead
robin trower,confessin' midnight,1975,blues,midnight jailer watch dime soul midnight come time start know justify satisfy sweet desire justify satisfy sweet desire midnight black creep headlights straight ahead watch shadow sleep tight sleepyhead justify satisfy sweet desire justify satisfy sweet desire midnight steam rise selfcontrol midnight beast rag time start know justify satisfy sweet desire wonder higher higher fade
the animals,prisoner of the light,1983,blues,come inside back fight live finger point face heart embrace mind grow everybody tell weren good good work instead hurt deep break trust watch bleed ignore pleas squash dream hide underneath come scream keep hide beneath break spirit finally free come inside back fight life fight hold long come hand friend fuck dead things show color inside know hide truths shit turn burn hide try true watch spirit inside back fight word say think head leave dead alive inside bring ways imagine believe true inside fight hate drag afraid cause end hate drag end inside back fight word say think head leave dead alive inside hate drag afraid cause end
pat travers,matrial eyes,1980,blues,grab hard black steel gonna touch wheel tonight alright scene turn head walk sidewalk like dead know cause shoot gotta shoot believe shoot come surprise shoot babe material eye regular slob keep amuse time yeah want legend time mystery know cause shoot gotta shoot believe shoot come surprise shoot babe material eye waah cause shoot gotta shoot believe shoot come surprise shoot babe material eye shoot shoot cause shoot shoot
taj mahal,chevrolet,1967,blues,chevrolet chevrolet chevrolet somthin somthin ring ring ring somthin somethin build house home build house home build house home chevrolet chevrolet chevrolet
bad company,hold on my heart,1986,blues,need lookin shoulder know care walk away word word stay baby hold hold heart feel like fade hold hold heart know wait crazyness keep apart hold heart tell believe heart sleeve gotta know matter tonight baby hold hold heart feel like fade hold hold heart know wait crazyness keep apart hold heart go memory yeah picture baby hold hold heart feel like fade hold hold heart know wait crazyness keep apart hold heart
cream,passing the time,1968,blues,cold winter away songbird go traveller wait home holiday leave tree animals sleep cold north wind blow snowflakes fall roof white blanket windowpane wait sit fireside room warm children sleep wait home pass time pass time fine pass time have wine pass time drink wine pass time fine pass time drink wine pass time fine pass time drink wine pass time fine pass time wine time rhyme pass time long winter away summer wait traveller home sit fireside room warm window lonely
gary clark jr.,when the sun goes down,2014,blues,evenin mama evenin mama lonesome lonesome go awake night thinkin awake night thinkin hurt lovin go rise east set rise east mama set harder till harder till woman best go night layin sleepin declare sleepin night layin sleepin darlin declare yeah declare sleepin place go go go go go go go
graveyard,ungrateful are the dead,2011,blues,bury darkness free thoughts happiness reach usual throw away seek answer know life live today turn walk away listen closely see see path lead hell worm inside chest feed pain live years evil turn walk away listen closely see see path lead hell soon thing know time tire peace mind rise time pretend actually ungrateful dead rest peace live dead rest
eric clapton,better make it through today,1975,blues,life people tomorrow better today share trouble look misery
the black angels,snake in the grass,2008,blues,someday today away place nice safe someday today look yeah divine yeah better believe give plenty warn float moat yeah dig moat yeah bring lead army children bloodstained hand better believe alright alright fine night night swear highest high promise catch sleep smile safe today better believe night go blind sleep dream give plenty warn
the wood brothers,this is it,2018,blues,things think miss miss shouldn miss dream free miss change world change world need things think know things know know change world change world need wanna know eitheror yeah things think miss things think miss change world change world change world change world need need need
grace potter & the nocturnals,roulette,2012,blues,habit hard break instead raise stake heaven hear soul head away play roulette wheel play roulette heart tumble ball wheel turn helpless soul hopeless hand heart go deeper debt play roulette happen stay long winnings home morning go away wish change heart know tame feel like run lose mind maybe spin save lose know play roulette play roulette play roulette
eric clapton,blues leave me alone,1994,blues,blue blue try drive away home blue blue try drive away home blue blue follow long blue blue rest blue blue rest mind ramble like wild geese steady baby midnight dream steady baby midnight dream woman better see blue blue follow long blue blue follow long blue blue leave
phish,what's the use,1999,blues,whats go fast race soon accept slower tell right arrows tablecloth go brain
whitesnake,only my soul,1978,blues,soul stop cry wonder feel keep weep give strength lead thro restless water walk live moment tomorrow lord judgement break dream eye children despair whisper voice distance know lead thro restless water walk live moment tomorrow lord judgement lord judgement hear cry hear cry know song soul hear cry hear cry know song soul
buddy guy,sweet home chicago,2004,blues,come baby wanna home come baby wanna home land california sweet home chicago come baby wanna home come baby wanna home land california sweet home chicago babe come girl late leave baby wanna home land california sweet home chicago lonely hook gotta baby wanna home land california sweet home chicago come baby wanna home come baby wanna home land california sweet home chicago come baby wanna come baby wanna home land california sweet home chicago
ufo,diesel in the dust,1983,blues,daddy tell shoot kill livin thrill hurt payback twice mckinley die wheel truck engine run seize hear thing shout shoot ring smell diesel dust mckinley wouldn alive need survive folks wanna settle score kinda mckinley die wheel truck engine run seize hear thing shout shoot ring smell diesel dust diesel dust see thing sheriff pull silence preacher bow head dead better say mckinley die wheel truck engine run seize hear thing shout shoot ring smell diesel dust account stand hear thing shout shoot ring smell diesel dust diesel dust
bob log iii,boob scotch,2003,blues,boob scotch come boob scotch boob scotch rock boob scotch boob scotch rock think need talk boob scotch come drink stir scotch pink scotch mix help feel better real quick boob scotch stir stir stir stir stir stir stir come boob scotch boob scotch rock boob scotch boob scotch rock come pass drink round room everybody stick boob hold long long hand boob scotch bottle can bother boob scotch drink boob better stir stir stir stir stir stir stir yeah boob scotch bottle cannedcan bother boob scotch drink boob better drink boob better drink boob better drink boob better
j.j. cale,new lover,2004,blues,cale ground hear news yesterday prowl like siamese lover guarantee lover lover tell lover cold ground hear news yesterday prowl like siamese lover put trance lover lover guarantee lover lover tell lover cold
chicken shack,i'd rather go blind,2006,blues,tell talk deep soul say girl girl walk blind walk away want leave baby wanna free sit think kiss warm embrace reflection glass hold lips baby reveal tear face blind walk away want leave baby want free baby baby baby blind
joe cocker,sticks and stones,1970,blues,people talkin tryin break stick stone break bone talk bother people talkin tryin break know care people gonna abuse abuse heart accuse accuse accuse rebuke stomp people talkin tryin break scandalize feel sham abuse abuse heart accuse accuse accuse rebuke stomp people talkin tryin break scandalize feel sham
white denim,corsicana lemonade,2013,blues,years young couple years end know look weather windows reach hold consider ways wind blow end know look reason place nacogdoches pick better place lose change kemah little long walk grange corsicana slam thirsty glass lemonade slow hang look weather windows reach hold consider ways wind blow end know dumas pick better place lose change abiline like uvalde couldn away waxahatcha catch matagorta nacogdoches pick better place lose change kemah little long walk grange corsicana slam thirsty glass lemonade slow hang
little walter,don't need no horse,1993,blues,feel like barely tread water quicksand rise knees breakin border room pertain say start church bell rangin cupid straight sprayin take shots heart girl need medicine need touch girl future look eye future like bear child future girl walk million future look eye future future future future future border nice little house water villa inch room drama poppin shame lady singin news dollar hangin wanna begin alright couldn stand fight want away future look eye future like bear child future girl walk million future look eye future future future future future catch steadily dream think want baby want involve wanna involve baby future look eye future like bear child future girl walk million future look eye future future future future future
black pistol fire,speak of the devil,2017,blues,wonder keep pillow lonely lonely night cry satisfy pick apart push come shove bluff serve time ask sweet darling single tear tremble shake astray freight train heartache cry satisfy pick apart push come shove bluff serve time ask sweet darling single tear shoulder night weep eye tear come roll warm break tattered slowly watch drown serve time ask wonder keep pillow lonely lonely night cry satisfy pick apart push come shove bluff serve time ask yeah sweet darling single tear
danielle nicole,cry no more,2018,blues,bird butterfly rivers mountains create know useless control go rule time give take rule time go breath choices pass strength believe soul live time rule time give take rule time go know dear fear fear begin begin start know dear fear time time time time time go go rule time give take rule time time time go
nina simone,will i find my love today,1963,blues,rain stop streets fresh warm clear begin form step outside quiet word today smile face quiet romantic place come today wonder meet street come lonely girl rendevous today smile face quiet romantic place come tell lonesome girl rendevous today wonder meet street know tommorow today
north mississippi allstars,what you gonna do?,2019,blues,gonna death come creepin room gonna death come creepin room gonna death come creepin room lord lord shall shall hush hush somebody call hush better hush somebody call hush hush somebody call lord lord shall shall hide place better better hide place hide place lord lord shall shall lord lord shall shall
ella fitzgerald,moonlight on the ganges,1958,blues,moonlight gang little hindu whisper sweet dream scheme come true someday gang need kiss caress water kiss silent shore moonlight gang little hindu whisper sweet dream scheme come true someday gang need kiss caress water kiss kiss silent shore
ella fitzgerald,the nearness of you,1997,blues,pale moon excite thrill delight nearness sweet conversation bring sensation nearness arm feel close wildest dream come true need soft light enchant right hold tight feel night nearness pale moon excite thrill delight nearness sweet conversation bring sensation nearness arm feel close wildest dream come true yeah need soft light enchant right hold tight yeah baby feel night nearness arm feel close wildest dream come true need soft light enchant right hold tight feel night nearness
all them witches,funeral for a great drunken bird,2013,blues,shame fall top tree drink smart beautiful go goodbye great fool goodbye great fool goodbye
carla thomas,promises,1961,blues,kiss babe hug show sensitive fear answer prayers bridge lord guess sure lord promise mountain climb people share feel sacrifice truth open promise girl bridge grow moment soon cause wake reach brand
molly hatchet,poison pen,1980,blues,poison word friend change fate drop line gonna write time bite like snake late look gonna run poor devil friend talk game wreck mind print line bite snake easier cause venom till days make wonder poison friend wish know inside poison poison poison word friend change fate drop line gonna write time bite like snake late look gonna run poison friend wish know inside poison poison poison friend wish know inside poison poison poison
john scofield,still warm,1986,blues,gyal skin catch skin gyal come whine hole spend little time hole treasure hole stop stop sign road badman whine clothe whine hole pose like double backshot miss cocky shoot pussy target long talk ready start night talk gyal stop talk skin like gyal come whine hole spend little time hole treasure hole stop stop sign road ohskin outgyal ohskin outgyal alright gyal nuff like sand seaside marky izzie gyal care gyal gyal coulda slimmas fatty stand feet wide come gyal pride subkonshus team real look skin pussy gyal come whine hole spend little time hole treasure hole stop stop sign road ohskin outgyal ohskin outgyal alright kind foolfool song
the black angels,deer-ree-shee,2008,blues,rain rain look black cloud paint trouble hang nation crop force steal like grey hawk perch tree wait right kind thrill know game know silver look bang bang magic white feel like foreigners devil blind trade secrets fine entitle cross imaginary line trail fear tear come tribe wear power drink noon dream drink noon stop force grow draw line
robert plant,burning down one side,1982,blues,slip window door catch short transit jump fell romance fall shove tiptoe like thunder feel gently sigh knees weak head reel consume eye step shatter defenses play hookey heart slip window door take key poor heart poor heart stay cause need need need need look high look baby gotta away know baby stay stay boulevard amour shoot neon night foot alleys check door ways park ninth course kiss place help away long dream little girl see little girl
aretha franklin,two sides of love,1964,blues,side side wonder lift pull different ways bother treat nice whisper sweetly feel completely hold like go time smile girls start wonder fail feel want make girl side trust keep want act strange change take apart take heart right start make girl
keith richards,wicked as it seems,1988,blues,wicked dream better evils babe time baby heart heart come long beat beat beat wicked yeah street go time wicked playtime late gonna hard hard hard gonna soften blow bruise expertise break neck break hearts deck play card check want wicked time easy gettin hard babe
the cramps,primitive,1981,blues,know hurt live life work respect expect primitive live primitive cause live primitive things free proud life cause tell probably primitive live primitive cause live primitive primitive live primitive cause live primitive
oblivians,live the life,1997,blues,know frailty give emptiness fill live live hold know sound substance fill trashy rap mind like drug addict perceive world numb like tramp numb conceptual sound break space like drug addict perceive world sound numb like tramp numb conceptual sound break space yearn leave deep wild nature savage oblivion embrace need know save mind need feel destroy emotions regret try live life cry regret try live cry
ruth brown,old man river,1957,blues,work long mississippi work white folk play pull boat till sunset get rest till judgment look look dare white boss frown bend knees head pull rope dead mississippi white boss stream call river stream long cross river river know keep roll keep roll plant taters plant cotton plant soon forget river jest keep roll sweat strain body ache wrack pain tote barge lift bale little drink land jail weary sick try tire live fear die river keep roll
black pistol fire,alabama coldcock,2014,blues,hips creep home like wreck ball want alabama coldcock clean alabama coldcock clean nothin schoolgirl crush hear sound mouth shut hittin road dead walkin pound pound roll twos gonna kiss floor night long worry bout things go like wreck ball want alabama coldcock clean alabama coldcock clean nothin schoolgirl crush hear sound mouth shut alabama coldcock clean alabama coldcock clean nothin schoolgirl crush hear sound mouth shut
ty segall,i sing them,2019,blues,life mystery look inside speak talk pray sing sing song free sing sing song sound like waste time sing people rhyme cause know care sing song cause sound like sing yeah know care walk right grow hair sing sing song free sing sing song sound like sing sing song free sing sing song sound like lala lala lalalalala lala lala lalalalala lala lala lalalalala lala lala lalalalala sing sing song free sing sing song sound like sing sing song free sing sing song sound like sing come sing
roy buchanan,the story of isaac,1992,blues,door open slowly father come years stand tall blue eye shin voice cold say vision know strong holy tell start mountain run walk burn gold tree smaller lake lady mirror stop drink wine throw bottle break minute later hand think eagle vulture decide father build altar look shoulder guess know hide build altars sacrifice children anymore scheme vision tempt demon stand hatchets blunt bloody mountain father hand tremble beauty mean beauty word brother forgive inquire accord plan come dust kill help come dust help kill uniform peace peacock spread deadly
death from above 1979,turn it out,2004,blues,someday soon hold breath know movemovemove time time turn
leon bridges,outta line,2016,blues,say ahead dirty beat better hold tongue better speak fool fool train ticket cause line outta line outta line outta line outta line know happen come home half past outta line outta line outta line better come quick plan change mind say face fool better hold tongue better speak cause fool fool better train ticket cause line outta line outta line outta line outta line know happen come home half past outta line outta line outta line better come quick plan change mind say ahead thief better hold tongue better speak fool fool train ticket cause line outta line outta line outta line outta line know happen come home half past outta line outta line outta line better come quick plan change mind
etta james,"baby, baby, everynight",1987,blues,tell leave tear go hours like years darling sing song leave make heart beat slow slow wonder tell tell wrong come come ought stay away cause eternity tell leave tear go hours like years leave sing song sing song leave sing song
bonnie raitt,good enough,1975,blues,time bring home mama say good want girl wonder good doin worryin thinkin thinkin good time love know little rough ask good cry look eye blue cause prayin prayin good good mind ease stop insecurities cause good strange time go fell time hafta good time bind good good good good baby good fade long good warm baby good
ella fitzgerald,winter wonderland,2002,blues,sleigh bell ring listenin snow glisten beautiful sight tonight walk winter wonderland go away blue stay sing song walk winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walk winter wonderland listenin snow glisten beautiful sight tonight walk winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walk winter wonder wonderland
ella fitzgerald,after you've gone,1962,blues,go leave cry go deny feel blue feel miss dearest come time forget come time regret grow lonely heart break like want go go away go break go gonna blind somebody come change mind years think tear kind weather someday blue downhearted long right start go go away blind somebody come change mind someday blue downhearted long right start go go away feel blue feel miss dearest someday grow lonely heart break like want go go away blue miss
walter trout,pray for rain,2012,blues,rain fallin rain fallin rain fallin rain fallin crop dyin know bind tear fallin tear fallin tear fallin tear fallin mother nature cryin know bind field pain field pain pray rain sadness sadness grind sadness sadness grind nothin growin know bind know bind know bind know bind
louis prima,whistle stop,1991,blues,oooo oooo waddee oooo oooo waddee oooo oooo waddee ooooo oooo live whistle stop think clown like hear train whistle blow train stop gonna blow like hear train whistle blow baby come train stop know train bring home pray long like hear train whistle blow bring bring bring bring baby come train stop know train bring home pray long like hear train whistle blow bring bring bring bring oooo oooo waddee oooo oooo waddee oooo oooo waddee ooooo oooo
the von bondies,not that social,2004,blues,center tag near want better come quickly social good drinker know things better mean mean social good drinker limit problems bring need help need social good drinker hint long long time social good drinker breathe breathe know drown breathe breathe know drown breathe breathe know drown breathe breathe know drown breathe breathe know drown breathe breathe dddrowning breathe breathe know drown breathe breathe social good drinker breathe breathe social good drinker breathe breathe breathe breathe know drown breathe breathe know drown breathe breathe know drown breathe breathe breathe breathe
rival sons,imperial joy,2019,blues,go stay late things like wide awake crawl long sunday whoawhoa whoawhoawhoa look little blood run vein come kiss thousand years gonna follow follow long wanna school university neverending joke crawl long monday look little blood run vein come kiss thousand years gonna follow follow long look little blood run vein come kiss thousand years know gonna follow follow long say blood run vein come kiss thousand years know gonna follow follow long
beth hart,blame the moon,1996,blues,remember right minute life yeah sit dark star rain life cry mystery see hurt black magic season witch blame moon blame moon blame moon blame moon yeah mystery see hurt black magic season witch blame moon blame moon blame moon blame blame blame blame blame moon blame moon say blame moon blame moon blame blame blame moon
ella fitzgerald,she didn't say yes,1963,blues,stay know spy know hear little word coyly take little look awake smile inside heart begin beat wild inside leave soon stand chateau linger like poor waifs outside know twas safe outside warm cold sleet say better bold murmur afraid wish leave want stay know wasn sure good wasn sure good want rest cuddle press palpable somebody heart rapport bolt door leave heaven near want sweet beckon know reckon want climb dread fall bid time cling wall want libitum fear lose equilibrium leave
uriah heep,think it over,1982,blues,take mistake touch think face single pain away tear turn walk away know better tell want quit think believe things think think forget givin fuss face truth think babe
ufo,blinded by a lie,1983,blues,information friend night look different black white second party sign away life couldn blind blind blind blind know know blind blind blind blind listen closely away deck percent legal jungle bend blind blind blind blind know know nothin know blind blind blind blind blind blind blind blind blind blind
john lee hooker,keep your hands to yourself (she's mine),1962,blues,hand belong hand belong leave hand hand baby gonna baby yeah yeah yeah look hand property belong hand eye open baby baby
woody guthrie,will you miss me?,1962,blues,death close eyelids race earth miss go miss miss miss miss miss miss go miss miss go miss go come come hand brow achin hearth grow dead miss miss miss miss miss miss go miss miss go miss go miss miss miss miss miss miss go miss miss go miss go
all them witches,charles william,2013,blues,wanna home wanna feel porcelain gonna lift head will gonna raise dead lay hand raise hand wanna home wanna feel porcelain gonna lift head gonna raise dead lay hand raise hand wanna home wanna feel porcelain gonna lift head will gonna raise dead lay hand raise hand stone home longer leave tell grow stone home longer leave tell grow
joe cocker,up where we belong,1993,blues,know tomorrow bring world hearts survive know feel real alive road long mountains climb step lift belong eagle mountain high lift belong world clear wind blow hang live live look life road long mountains climb step lift belong eagle mountain high lift belong world clear wind blow time go time life alive today lift belong eagle mountain high lift belong world clear wind blow lift belong eagle mountain high lift belong
the blue stones,lay,2018,blues,flag turn away blow kiss wrap darkness quick feel stick hold conclude pick bag start flag turn away oohh hear takin shots break bottle drown sorrow leave go away hear brother pain freight train sound leave go away leave regret leave regret leave regret leave
the shirelles,don't say goodnight and mean goodbye,1963,blues,shirelles miscellaneous goodnight mean goodbye goodnight mean goodbye shirelles write partee angelis tonight actin strange mind wrong eye whoa darlin goodnight mean goodbye mind tonight like time laugh hear sigh whoa whoa whoa darlin goodnight mean goodbye lose touch heart worry couldn stand kiss kiss nights hold like walk away pretty baby look eye whoa darling goodnight mean goodbye whoa baby goodnight mean goodbye goodnight mean goodbye cassells
alice cooper,lock me up,1987,blues,accuse mass mental cruelty plead guilty wanna clean wanna nice whip gonna crack leather black eye gonna rough gonna mean sick little friend dream head gonna change mind like lock woah like lock woah cover eye cover head know cover scream bloody murder barricade bend sweatin gotta loud want roar want blow right floor kill rage want write paper night bloody stage like lock woah like lock woah lock shut cover eye cover head know cover scream bloody murder barricade bend sweatin light like lock woah like lock wanna woah like lock wanna cool woah like lock wanna sick woah real sick
al green,king of all,1978,blues,niggas run place disgrace want easy baby life dream niggas kill come demeanor medina high eye watch greene game change cross dress offset marry miss lady farfetched simmons leather lose biggie coogi sweater cloth mark spot pray cross drug dealer thoughts inspire report unruly italian suit mulli ferrari bubble booty groupie dope seduction movie quick bust like baby clutch believe devil come snake come naturally hate fine taste shooter like break shit ugly strangé diamonds shine bitch blind date high stake rollie wide face moesha feature nigga triple beam dream dope fiends compromise integrity story funny money fell ring kiss shit keyante bask ambiance listen insomnia leave hang like palm tree slop like robbery bruh high fashion newest rappers head list wackest rapid little wonder average call fame shit pure nigga vernacular benz back ball player swagger stay tune looney character deep japanese denim freak english speak skin teeth celebration tonight good word vice game paper blow niggas hate relate need forever reach grimm reaper flirt feel death kiss lennon vintage cheap shit weak shit sugar sweet lick fuck
the derek trucks band,"i'd rather be blind, crippled and crazy",2006,blues,step stand grind know tire mess time blind cripple crazy push daisies break heart break heart need pain mess insane break heart bask wanna wanna blind cripple crazy push daisies break heart
patsy cline,in care of the blues,1957,country,baby needin needin drop line sayin write care blue missin missin shouldn write care blue postman letter know bring letter plane bring baby needin needin drop line sayin write care blue postman letter know bring letter plane bring baby needin needin drop line sayin write care blue write care blue
the oak ridge boys,another dream just came true,1981,country,lonely downhearted night love take surprise know life start moment look eye dream come true dream come true right blue dream come true dream come true dream come true lie dream come true think lover friend know special look
glen campbell,the hand that rocks the cradle,1987,country,wrinkle scar cryin take hold breast sure mama offer go sleep fear rest matter need count mama supply regardless sleep losin twinkle ought fame mamas creation unique precious pearl heaven help remember hand rock cradle rule world teach attribute greatness know couldn learn away home time wear cover bible hair little go ought fame mamas creation unique precious pearl heaven help remember hand rock cradle rule world hand rock cradle rule world
waylon jennings,pretend i never happened,1972,country,pretend happen erase mind want remember cold leavin mornin place place better ones leave suppose unhappy ways spend time think cross mind pretend happen erase mind girl want remember cold
seckond chaynce,my world,2018,country,beautiful cause look girl heart gold fall deep worry bout gonna leave heart dead bury hold key eternally believe eye lock matter know leave want world world kind soft sweet baby world compete world world heaven know deserve lord sure thankful send bless question texas tokyo china okeechobee girl world like australia africa match world world world world
willie nelson,the party's over,1967,country,turn light party good things night party tomorrow start thing crazy crazy party see people laugh dance look have look cry die misery cause party turn light party good things night party tomorrow start thing undying wasn try life party break heart time party wife night say sweetheart party turn light party good things night party tomorrow start thing tomorrow start thing
kevin fowler,speak of the devil,2000,country,heaven send save life misery fall right outta catch arm life pretty peachy things keen sudden mean wing fell start turnin break halo fell right head yeah speak devil come yeah poor swear horn tail pitchfork book spell speak devil come fall fell kick heavenly place raisin hell breakin rule tellin lie breakin hearts mean cruel earth doin devil dirty work stealin soul sweet lips pretty eye disguise little devil speak devil come yeah poor swear horn tail pitchfork book spell speak devil come tryin duck tryin dodge tryin shake hide escape know know bind loose speak devil come yeah poor swear horn tail pitchfork book spell speak devil come speak devil come yeah poor swear horn tail pitchfork book spell speak devil come speak speak speak devil come speak speak speak devil come speak speak speak devil come speak devil come
randy travis,somewhere in my broken heart,1989,country,mind time come think piece forgiveness break heart choose road take leave apart think go break heart ahead cause unspoken break heart time long write star finally think break heart ahead cause unspoken break heart time long write star finally think break break heart
gerry rafferty,the royal mile,1980,country,remember sound pass train roll night pour rain touch hand say goodbye walk mile light smile cry night hear sweet darlin want away look sweet darlin know want stay sweet darlin light roll home think wait want say yeah dream memory forget give lose feel okay sweet darlin want away look sweet darlin know want stay sweet darlin remember sound pass train roll night pour rain touch hand say goodbye sweet darlin want away look sweet darlin know want stay sweet darlin
pure prairie league,falling in and out of love,1972,country,fall feel touch real mind reelin round cause feel today fall fall know gonna fall try thinkin ease mind mean fall fall know gonna fall think stay maybe longer
38 special,you keep runnin' away,1982,country,hear highheels clickin boulevard suitcase hand guess takin hard swear trust know question open eye light nights someday someway gonna gonna stay runnin runnin runnin away hear whisper neighborhood time best understand come take fool word street look open eye light nights someday someway gonna look comin runnin runnin runnin away baby fool comin fool runnin know know open afraid baby standin tell tell goodbye someday someway gonna gonna stay baby look comin runnin runnin runnin away runnin runnin runnin away runnin runnin runnin away runnin runnin away runnin runnin away runnin runnin away runnin runnin away
